Local authority,Library name,Month,Type,Loans
Devon,~HQ ACQUISITION,2018-07,Adult Audiobook,0
Devon,~HQ ACQUISITION,2018-07,Adult Fiction,256
Devon,~HQ ACQUISITION,2018-07,Adult Non Fiction,50
Devon,~HQ ACQUISITION,2018-07,Children and Teen Fiction,3
Devon,~HQ ACQUISITION,2018-07,Children and Teen Non-Fiction,1
Devon,~HQ ACQUISITION,2018-07,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-07,DVD,3
Devon,~HQ ACQUISITION,2018-07,Misc,27
Devon,~HQ ACQUISITION,2018-07,Music CD,9
Devon,~HQ ACQUISITION,2018-07,Play,0
Devon,~HQ ACQUISITION,2018-07,Sheet Music,0
Devon,~HQ ACQUISITION,2018-08,Adult Audiobook,0
Devon,~HQ ACQUISITION,2018-08,Adult Fiction,339
Devon,~HQ ACQUISITION,2018-08,Adult Non Fiction,40
Devon,~HQ ACQUISITION,2018-08,Children and Teen Fiction,6
Devon,~HQ ACQUISITION,2018-08,Children and Teen Non-Fiction,0
Devon,~HQ ACQUISITION,2018-08,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-08,DVD,12
Devon,~HQ ACQUISITION,2018-08,Misc,29
Devon,~HQ ACQUISITION,2018-08,Music CD,8
Devon,~HQ ACQUISITION,2018-09,Adult Audiobook,1
Devon,~HQ ACQUISITION,2018-09,Adult Fiction,160
Devon,~HQ ACQUISITION,2018-09,Adult Non Fiction,44
Devon,~HQ ACQUISITION,2018-09,Children and Teen Fiction,41
Devon,~HQ ACQUISITION,2018-09,Children and Teen Non-Fiction,0
Devon,~HQ ACQUISITION,2018-09,Children Audiobook,3
Devon,~HQ ACQUISITION,2018-09,DVD,2
Devon,~HQ ACQUISITION,2018-09,Misc,15
Devon,~HQ ACQUISITION,2018-09,Music CD,0
Devon,~HQ ACQUISITION,2018-09,Play,0
Devon,~HQ ACQUISITION,2018-09,Sheet Music,0
Devon,~HQ ACQUISITION,2018-10,Adult Audiobook,0
Devon,~HQ ACQUISITION,2018-10,Adult Fiction,286
Devon,~HQ ACQUISITION,2018-10,Adult Non Fiction,38
Devon,~HQ ACQUISITION,2018-10,Children and Teen Fiction,2
Devon,~HQ ACQUISITION,2018-10,Children and Teen Non-Fiction,0
Devon,~HQ ACQUISITION,2018-10,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-10,DVD,6
Devon,~HQ ACQUISITION,2018-10,Misc,21
Devon,~HQ ACQUISITION,2018-10,Music CD,1
Devon,~HQ ACQUISITION,2018-10,Play,0
Devon,~HQ ACQUISITION,2018-10,Sheet Music,0
Devon,~HQ ACQUISITION,2018-11,Adult Audiobook,0
Devon,~HQ ACQUISITION,2018-11,Adult Fiction,353
Devon,~HQ ACQUISITION,2018-11,Adult Non Fiction,59
Devon,~HQ ACQUISITION,2018-11,Children and Teen Fiction,13
Devon,~HQ ACQUISITION,2018-11,Children and Teen Non-Fiction,1
Devon,~HQ ACQUISITION,2018-11,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-11,DVD,5
Devon,~HQ ACQUISITION,2018-11,Misc,10
Devon,~HQ ACQUISITION,2018-11,Music CD,6
Devon,~HQ ACQUISITION,2018-11,Sheet Music,0
Devon,~HQ ACQUISITION,2018-12,Adult Audiobook,0
Devon,~HQ ACQUISITION,2018-12,Adult Fiction,141
Devon,~HQ ACQUISITION,2018-12,Adult Non Fiction,15
Devon,~HQ ACQUISITION,2018-12,Children and Teen Fiction,0
Devon,~HQ ACQUISITION,2018-12,Children and Teen Non-Fiction,0
Devon,~HQ ACQUISITION,2018-12,Children Audiobook,0
Devon,~HQ ACQUISITION,2018-12,DVD,5
Devon,~HQ ACQUISITION,2018-12,Misc,3
Devon,~HQ ACQUISITION,2018-12,Music CD,1
Devon,~HQ ACQUISITION,2018-12,Sheet Music,0
Devon,~HQ ACQUISITION,2019-01,Adult Audiobook,2
Devon,~HQ ACQUISITION,2019-01,Adult Fiction,165
Devon,~HQ ACQUISITION,2019-01,Adult Non Fiction,33
Devon,~HQ ACQUISITION,2019-01,Children and Teen Fiction,9
Devon,~HQ ACQUISITION,2019-01,Children and Teen Non-Fiction,0
Devon,~HQ ACQUISITION,2019-01,Children Audiobook,0
Devon,~HQ ACQUISITION,2019-01,DVD,5
Devon,~HQ ACQUISITION,2019-01,Misc,4
Devon,~HQ ACQUISITION,2019-01,Music CD,1
Devon,~HQ ACQUISITION,2019-01,Sheet Music,0
Devon,~HQ ACQUISITION,2019-02,Adult Audiobook,1
Devon,~HQ ACQUISITION,2019-02,Adult Fiction,152
Devon,~HQ ACQUISITION,2019-02,Adult Non Fiction,61
Devon,~HQ ACQUISITION,2019-02,Children and Teen Fiction,6
Devon,~HQ ACQUISITION,2019-02,Children and Teen Non-Fiction,1
Devon,~HQ ACQUISITION,2019-02,Children Audiobook,0
Devon,~HQ ACQUISITION,2019-02,DVD,3
Devon,~HQ ACQUISITION,2019-02,Misc,0
Devon,~HQ ACQUISITION,2019-02,Music CD,3
Devon,~HQ ACQUISITION,2019-02,Play,0
Devon,~HQ ACQUISITION,2019-02,Sheet Music,0
Devon,~HQ ACQUISITION,2019-03,Adult Audiobook,7
Devon,~HQ ACQUISITION,2019-03,Adult Fiction,204
Devon,~HQ ACQUISITION,2019-03,Adult Non Fiction,52
Devon,~HQ ACQUISITION,2019-03,Children and Teen Fiction,6
Devon,~HQ ACQUISITION,2019-03,Children and Teen Non-Fiction,2
Devon,~HQ ACQUISITION,2019-03,Children Audiobook,1
Devon,~HQ ACQUISITION,2019-03,DVD,6
Devon,~HQ ACQUISITION,2019-03,Misc,0
Devon,~HQ ACQUISITION,2019-03,Music CD,0
Devon,~HQ ACQUISITION,2019-03,Sheet Music,0
Devon,~HQ ACQUISITION,2019-04,Adult Audiobook,2
Devon,~HQ ACQUISITION,2019-04,Adult Fiction,271
Devon,~HQ ACQUISITION,2019-04,Adult Non Fiction,59
Devon,~HQ ACQUISITION,2019-04,Children and Teen Fiction,8
Devon,~HQ ACQUISITION,2019-04,Children and Teen Non-Fiction,4
Devon,~HQ ACQUISITION,2019-04,DVD,8
Devon,~HQ ACQUISITION,2019-04,Misc,1
Devon,~HQ ACQUISITION,2019-05,Adult Fiction,167
Devon,~HQ ACQUISITION,2019-05,Adult Non Fiction,83
Devon,~HQ ACQUISITION,2019-05,Children and Teen Fiction,4
Devon,~HQ ACQUISITION,2019-05,DVD,3
Devon,~HQ ACQUISITION,2019-05,Misc,1
Devon,~HQ ACQUISITION,2019-05,Music CD,5
Devon,~HQ ACQUISITION,2019-06,Adult Audiobook,2
Devon,~HQ ACQUISITION,2019-06,Adult Fiction,91
Devon,~HQ ACQUISITION,2019-06,Adult Non Fiction,16
Devon,~HQ ACQUISITION,2019-06,Children and Teen Fiction,3
Devon,~HQ ACQUISITION,2019-06,Children and Teen Non-Fiction,4
Devon,~HQ ACQUISITION,2019-06,DVD,3
Devon,~HQ ACQUISITION,2019-06,Misc,1
Devon,~HQ ACQUISITION,2019-07,Adult Fiction,16
Devon,~HQ ACQUISITION,2019-07,Adult Non Fiction,3
Devon,~HQ ACQUISITION,2019-07,Children and Teen Fiction,4
Devon,~HQ ACQUISITION,2019-07,DVD,10
Devon,~HQ ACQUISITION,2019-07,Misc,2
Devon,~HQ ACQUISITION,2019-07,Music CD,7
Devon,~HQ ACQUISITION,2019-08,Adult Audiobook,1
Devon,~HQ ACQUISITION,2019-08,Adult Fiction,152
Devon,~HQ ACQUISITION,2019-08,Adult Non Fiction,24
Devon,~HQ ACQUISITION,2019-08,Children and Teen Fiction,2
Devon,~HQ ACQUISITION,2019-08,DVD,11
Devon,~HQ ACQUISITION,2019-08,Music CD,3
Devon,~HQ ACQUISITION,2019-09,Adult Audiobook,7
Devon,~HQ ACQUISITION,2019-09,Adult Fiction,126
Devon,~HQ ACQUISITION,2019-09,Adult Non Fiction,26
Devon,~HQ ACQUISITION,2019-09,Children and Teen Fiction,5
Devon,~HQ ACQUISITION,2019-09,DVD,4
Devon,~HQ ACQUISITION,2019-09,Misc,2
Devon,~HQ ACQUISITION,2019-09,Music CD,1
Devon,~HQ ACQUISITION,2019-10,Adult Fiction,116
Devon,~HQ ACQUISITION,2019-10,Adult Non Fiction,34
Devon,~HQ ACQUISITION,2019-10,Children and Teen Fiction,2
Devon,~HQ ACQUISITION,2019-10,Children and Teen Non-Fiction,2
Devon,~HQ ACQUISITION,2019-10,DVD,1
Devon,~HQ ACQUISITION,2019-10,Misc,3
Devon,~HQ ACQUISITION,2019-11,Adult Fiction,28
Devon,~HQ ACQUISITION,2019-11,Adult Non Fiction,4
Devon,~HQ ACQUISITION,2019-11,Children and Teen Fiction,3
Devon,~HQ ACQUISITION,2019-11,Children Audiobook,1
Devon,~HQ ACQUISITION,2019-11,DVD,7
Devon,~HQ ACQUISITION,2019-11,Misc,4
Devon,~HQ ACQUISITION,2019-11,Music CD,1
Devon,~HQ ACQUISITION,2019-11,Sheet Music,1
Devon,~HQ ACQUISITION,2019-12,Adult Audiobook,2
Devon,~HQ ACQUISITION,2019-12,Adult Fiction,51
Devon,~HQ ACQUISITION,2019-12,Adult Non Fiction,6
Devon,~HQ ACQUISITION,2019-12,DVD,1
Devon,~HQ ACQUISITION,2019-12,Misc,2
Devon,~HQ ACQUISITION,2019-12,Music CD,4
Devon,~HQ ACQUISITION,2020-01,Adult Audiobook,3
Devon,~HQ ACQUISITION,2020-01,Adult Fiction,166
Devon,~HQ ACQUISITION,2020-01,Adult Non Fiction,46
Devon,~HQ ACQUISITION,2020-01,Children and Teen Fiction,2
Devon,~HQ ACQUISITION,2020-01,Children Audiobook,2
Devon,~HQ ACQUISITION,2020-01,DVD,6
Devon,~HQ ACQUISITION,2020-01,Misc,2
Devon,~HQ ACQUISITION,2020-02,Adult Fiction,17
Devon,~HQ ACQUISITION,2020-02,Adult Non Fiction,8
Devon,~HQ ACQUISITION,2020-02,Children and Teen Fiction,4
Devon,~HQ ACQUISITION,2020-02,DVD,7
Devon,~HQ ACQUISITION,2020-02,Misc,4
Devon,~HQ ACQUISITION,2020-03,Adult Fiction,12
Devon,~HQ ACQUISITION,2020-03,Adult Non Fiction,2
Devon,~HQ ACQUISITION,2020-03,Children and Teen Fiction,7
Devon,~HQ ACQUISITION,2020-03,DVD,15
Devon,~HQ ACQUISITION,2020-03,Misc,1
Devon,~HQ ACQUISITION,2020-03,Music CD,6
Devon,~HQ ACQUISITION,2020-04,Adult Fiction,2
Devon,~HQ ACQUISITION,2020-04,DVD,1
Devon,~HQ ACQUISITION,2020-05,Adult Fiction,4
Devon,~HQ ACQUISITION,2020-05,Children and Teen Fiction,5
Devon,~HQ ACQUISITION,2020-05,DVD,3
Devon,~HQ ACQUISITION,2020-06,Adult Fiction,19
Devon,~HQ ACQUISITION,2020-06,Adult Non Fiction,6
Devon,~HQ ACQUISITION,2020-06,Children and Teen Fiction,19
Devon,~HQ ACQUISITION,2020-06,DVD,5
Devon,~HQ ACQUISITION,2020-07,Adult Audiobook,2
Devon,~HQ ACQUISITION,2020-07,Adult Fiction,179
Devon,~HQ ACQUISITION,2020-07,Adult Non Fiction,3
Devon,~HQ ACQUISITION,2020-07,Children and Teen Fiction,5
Devon,~HQ ACQUISITION,2020-07,Children and Teen Non-Fiction,1
Devon,~HQ ACQUISITION,2020-07,DVD,11
Devon,~HQ ACQUISITION,2020-08,Adult Audiobook,2
Devon,~HQ ACQUISITION,2020-08,Adult Fiction,6
Devon,~HQ ACQUISITION,2020-08,Adult Non Fiction,13
Devon,~HQ ACQUISITION,2020-08,Children and Teen Fiction,6
Devon,~HQ ACQUISITION,2020-08,DVD,9
Devon,~HQ ACQUISITION,2020-08,Music CD,3
Devon,~HQ ACQUISITION,2020-09,Adult Fiction,13
Devon,~HQ ACQUISITION,2020-09,Adult Non Fiction,21
Devon,~HQ ACQUISITION,2020-09,Children and Teen Fiction,5
Devon,~HQ ACQUISITION,2020-09,DVD,7
Devon,~HQ ACQUISITION,2020-09,Music CD,2
Devon,~HQ ACQUISITION,2020-09,Sheet Music,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Adult Audiobook,8
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Adult Fiction,2646
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Adult Non Fiction,292
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Children and Teen Fiction,13
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Children and Teen Non-Fiction,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Children Audiobook,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Misc,73
Devon,~HQ ADULT READER DEVELOPMENT,2018-01,Music CD,0
Devon,~HQ ADULT READER DEVELOPMENT,2018-02,Adult Audiobook,2
Devon,~HQ ADULT READER DEVELOPMENT,2018-02,Adult Fiction,1898
Devon,~HQ ADULT READER DEVELOPMENT,2018-02,Adult Non Fiction,291
Devon,~HQ ADULT READER DEVELOPMENT,2018-02,Children and Teen Fiction,13
Devon,~HQ ADULT READER DEVELOPMENT,2018-02,Misc,32
Devon,~HQ ADULT READER DEVELOPMENT,2018-03,Adult Audiobook,7
Devon,~HQ ADULT READER DEVELOPMENT,2018-03,Adult Fiction,2066
Devon,~HQ ADULT READER DEVELOPMENT,2018-03,Adult Non Fiction,303
Devon,~HQ ADULT READER DEVELOPMENT,2018-03,Children and Teen Fiction,1
Devon,~HQ ADULT READER DEVELOPMENT,2018-03,Children and Teen Non-Fiction,0
